entry_bar,exit_bar,entry_time,exit_time,side,pnl
76032,76176,2022-09-01T09:05,2022-09-05T09:05,-1,2069.730000000098
77184,77185,2022-09-26T09:05,2022-09-26T09:10,-1,-1795.469999999972
77400,77545,2022-09-29T09:05,2022-10-10T09:10,1,7312.829999999842
78120,78264,2022-10-20T09:05,2022-10-24T09:05,-1,-555.9700000000885
78336,78480,2022-10-25T09:05,2022-10-27T09:05,1,-514.5699999998906
79068,79332,2022-11-08T10:05,2022-11-11T14:05,1,12632.830000000016
80064,80136,2022-11-28T09:05,2022-11-29T09:05,1,-725.0700000000652
80352,80424,2022-12-02T09:05,2022-12-05T09:05,1,-273.97000000003027
80496,80712,2022-12-06T09:05,2022-12-09T09:05,-1,192.4299999998184
81288,81432,2022-12-21T09:05,2022-12-23T09:05,1,799.4299999998766
81864,81869,2023-01-03T09:05,2023-01-03T09:30,1,-1383.9700000000303
81936,82079,2023-01-04T09:05,2023-01-05T15:00,1,523.0299999997369
82351,82368,2023-01-11T13:40,2023-01-12T09:05,1,-1778.4699999999139
82440,82580,2023-01-13T09:05,2023-01-16T14:45,1,2080.630000000121
82594,82710,2023-01-17T09:55,2023-01-18T13:35,1,-1681.4700000001467
82787,82872,2023-01-19T14:00,2023-01-30T09:05,1,2236.7300000000396
83088,83160,2023-02-02T09:05,2023-02-03T09:05,1,-610.8699999999953
83232,83592,2023-02-06T09:05,2023-02-13T09:05,-1,5047.830000000133
84456,84816,2023-03-01T09:05,2023-03-08T09:05,1,3579.8300000000745
85032,85101,2023-03-13T09:05,2023-03-13T14:50,1,1461.9300000002258
85104,85464,2023-03-14T09:05,2023-03-21T09:05,1,20110.23000000033
86256,86400,2023-04-06T09:05,2023-04-10T09:05,1,3760.5299999999115
86551,86616,2023-04-12T09:40,2023-04-13T09:05,1,29.130000000004657
86688,86743,2023-04-14T09:05,2023-04-14T13:40,1,555.0299999999115
87115,87192,2023-04-21T14:40,2023-04-25T09:05,-1,-1364.1699999998673
87480,87484,2023-05-04T09:05,2023-05-04T09:25,1,8229.430000000051
88254,88344,2023-05-18T13:35,2023-05-22T09:05,-1,292.9299999999348
88848,89064,2023-05-31T09:05,2023-06-05T09:05,1,2942.9299999998184
89550,89568,2023-06-13T13:35,2023-06-14T09:05,1,-1879.0699999998906
90144,90291,2023-06-28T09:05,2023-06-30T09:20,-1,-1943.469999999972
90739,91067,2023-07-10T10:40,2023-07-14T14:00,1,2232.929999999935
91206,91368,2023-07-18T13:35,2023-07-21T09:05,1,4399.330000000016
92016,92160,2023-08-03T09:05,2023-08-07T09:05,-1,-453.5700000000652
92376,92514,2023-08-10T09:05,2023-08-11T14:35,-1,-1630.3699999997625
92729,92873,2023-08-16T14:30,2023-08-18T14:30,1,-2229.2700000001932
93028,93240,2023-08-23T09:25,2023-08-28T09:05,1,715.62999999983
93338,93672,2023-08-29T11:15,2023-09-05T09:05,1,2909.4300000001094
93888,94251,2023-09-08T09:05,2023-09-15T09:20,1,11738.730000000272
94882,94909,2023-09-27T13:55,2023-09-28T10:10,-1,4383.530000000028
94957,94959,2023-09-28T14:10,2023-09-28T14:20,-1,1663.2300000000978
94968,94973,2023-10-09T09:05,2023-10-09T09:30,-1,-185.06999999994878
95047,95186,2023-10-10T09:40,2023-10-12T09:15,-1,1172.030000000028
95548,95688,2023-10-19T09:25,2023-10-23T09:05,1,4492.129999999888
96048,96107,2023-10-30T09:05,2023-10-30T14:00,1,1691.6300000000047
96480,96696,2023-11-07T09:05,2023-11-10T09:05,-1,3761.030000000028
96768,96840,2023-11-13T09:05,2023-11-14T09:05,-1,-2037.469999999972
97198,97272,2023-11-20T14:55,2023-11-22T09:05,-1,-2156.569999999949
97335,97488,2023-11-22T14:20,2023-11-27T09:05,-1,-748.6700000000419
97632,97849,2023-11-29T09:05,2023-12-04T09:10,1,11980.030000000028
98280,98362,2023-12-12T09:05,2023-12-13T09:55,-1,-170.6699999999255
98856,99216,2023-12-22T09:05,2023-12-29T09:05,1,4984.630000000005
99775,99936,2024-01-10T13:40,2024-01-15T09:05,-1,-1520.6699999999255
100144,100224,2024-01-17T14:25,2024-01-19T09:05,-1,-893.1699999999255
100380,100585,2024-01-23T10:05,2024-01-26T09:10,-1,-744.9699999999721
100859,101038,2024-01-31T14:00,2024-02-05T10:55,1,632.4299999999348
101530,101664,2024-02-22T09:55,2024-02-26T09:05,-1,-1116.170000000042
102013,102336,2024-03-01T14:10,2024-03-08T11:05,1,19885.030000000028
102384,102442,2024-03-11T09:05,2024-03-11T13:55,1,967.4299999999348
102960,103032,2024-03-21T09:05,2024-03-22T09:05,1,2900.0300000001444
103111,103125,2024-03-25T09:40,2024-03-25T10:50,1,-1943.1700000002747
103274,103536,2024-03-27T11:15,2024-04-02T09:05,1,15864.130000000121
103608,103692,2024-04-03T09:05,2024-04-08T10:05,1,15273.930000000284
103694,103700,2024-04-08T10:15,2024-04-08T10:45,1,4736.229999999981
103968,104040,2024-04-12T09:05,2024-04-15T09:05,1,6947.2299999997485
104135,104178,2024-04-16T11:00,2024-04-16T14:35,1,-1997.0699999998324
104334,104338,2024-04-19T09:35,2024-04-19T09:55,1,1779.6299999998882
104472,104485,2024-04-23T09:05,2024-04-23T10:10,-1,8041.129999999888
104904,104905,2024-05-06T09:05,2024-05-06T09:10,-1,939.3300000000745
105246,105264,2024-05-10T13:35,2024-05-13T09:05,1,1203.9300000001676
105480,105493,2024-05-16T09:05,2024-05-16T10:10,1,2159.0299999996787
105624,105627,2024-05-20T09:05,2024-05-20T09:20,1,16402.43000000005
105678,105688,2024-05-20T13:35,2024-05-20T14:25,1,-171.36999999987893
106398,106415,2024-06-03T13:35,2024-06-03T15:00,-1,258.8299999998417
106564,106625,2024-06-06T09:25,2024-06-06T14:30,1,-1239.9699999997392
106632,106637,2024-06-07T09:05,2024-06-07T09:30,1,-1427.0700000000652
106704,106776,2024-06-11T09:05,2024-06-12T09:05,-1,1680.9299999999348
107568,107640,2024-06-27T09:05,2024-06-28T09:05,-1,-1300.0699999999488
108072,108132,2024-07-08T09:05,2024-07-08T14:05,1,1952.8300000000745
108360,108595,2024-07-12T09:05,2024-07-17T10:40,1,15520.530000000028
109013,109017,2024-07-25T09:30,2024-07-25T09:50,-1,3816.3300000000745
109036,109069,2024-07-25T11:25,2024-07-25T14:10,-1,-1919.369999999879
109080,109087,2024-07-26T09:05,2024-07-26T09:40,-1,-910.0699999999488
109466,109512,2024-08-02T11:15,2024-08-05T09:05,1,-2300.4699999998556
109647,109649,2024-08-06T14:20,2024-08-06T14:30,-1,-2609.269999999902
109660,109668,2024-08-07T09:25,2024-08-07T10:05,-1,-2628.5699999998324
110232,110234,2024-08-19T09:05,2024-08-19T09:15,1,749.3299999999581
110388,110466,2024-08-21T10:05,2024-08-22T10:35,1,-1617.0700000000652
110736,110790,2024-08-28T09:05,2024-08-28T13:35,1,-2618.4699999998556
110952,111043,2024-09-02T09:05,2024-09-03T10:40,-1,-454.46999999985565
111162,111226,2024-09-04T14:35,2024-09-05T13:55,-1,-1648.4700000000885
111600,111735,2024-09-13T09:05,2024-09-18T14:20,1,6142.430000000051
111834,112019,2024-09-20T10:35,2024-09-24T14:00,1,6813.430000000517
112032,112086,2024-09-25T09:05,2024-09-25T13:35,1,1570.530000000028
112662,112680,2024-10-14T13:35,2024-10-15T09:05,1,-502.0700000001816
112752,112959,2024-10-16T09:05,2024-10-18T14:20,1,15365.529999999795
112968,113184,2024-10-21T09:05,2024-10-24T09:05,1,4328.129999999423
113411,113610,2024-10-29T10:00,2024-10-31T14:35,1,5902.630000000121
113904,113976,2024-11-07T09:05,2024-11-08T09:05,-1,6666.429999999586
114120,114336,2024-11-12T09:05,2024-11-15T09:05,-1,15518.829999999725
114400,114408,2024-11-15T14:25,2024-11-18T09:05,-1,-2860.6699999995762
114696,114769,2024-11-22T09:05,2024-11-25T09:10,1,5243.029999999795
115560,115686,2024-12-10T09:05,2024-12-11T13:35,1,4799.729999999981
115704,115776,2024-12-12T09:05,2024-12-13T09:05,1,-314.57000000041444
116064,116069,2024-12-19T09:05,2024-12-19T09:30,-1,-900.0700000000652
116712,116910,2025-01-02T09:05,2025-01-06T13:35,1,4102.529999999795
117072,117218,2025-01-09T09:05,2025-01-13T09:15,1,5916.930000000168
117432,117576,2025-01-16T09:05,2025-01-20T09:05,1,478.42999999958556
117720,117783,2025-01-22T09:05,2025-01-22T14:20,1,2191.230000000098
117877,117950,2025-01-24T10:10,2025-01-27T10:15,1,-2174.1699999995762
118008,118150,2025-02-05T09:05,2025-02-06T14:55,1,19889.53000000026
118224,118314,2025-02-10T09:05,2025-02-11T10:35,1,15395.230000000098
119260,119376,2025-02-28T11:25,2025-03-04T09:05,-1,80.53000000061002
119880,120006,2025-03-13T09:05,2025-03-14T13:35,1,11723.23000000033
120099,120330,2025-03-18T09:20,2025-03-21T10:35,1,9179.53000000026
120672,120874,2025-03-28T09:05,2025-04-01T13:55,1,24020.92999999947
120960,120978,2025-04-03T09:05,2025-04-03T10:35,1,4360.429999999935
121032,121033,2025-04-07T09:05,2025-04-07T09:10,-1,-527.6699999999255
121320,121323,2025-04-11T09:05,2025-04-11T09:20,1,10608.330000000075
121338,121375,2025-04-11T10:35,2025-04-11T13:40,1,-2518.169999999809
121398,121446,2025-04-14T09:35,2025-04-14T13:35,1,-972.4699999998556
121536,121614,2025-04-16T09:05,2025-04-17T09:35,1,26196.63000000012
121752,121878,2025-04-21T09:05,2025-04-22T13:35,1,33209.72999999998
121882,121888,2025-04-22T13:55,2025-04-22T14:25,1,-2021.0699999999488
122558,122562,2025-05-09T10:15,2025-05-09T10:35,-1,-1976.5699999998324
122616,122622,2025-05-12T09:05,2025-05-12T09:35,-1,5811.6300000002375
122688,122707,2025-05-13T09:05,2025-05-13T10:40,-1,7588.430000000168
122832,122896,2025-05-15T09:05,2025-05-15T14:25,-1,19845.93000000005
123696,123698,2025-06-03T09:05,2025-06-03T09:15,1,6651.829999999958
124272,124299,2025-06-13T09:05,2025-06-13T11:20,1,7215.630000000121
124832,124851,2025-06-24T13:45,2025-06-25T09:20,-1,913.3299999999581
125017,125076,2025-06-27T11:10,2025-06-30T10:05,-1,6042.629999999888
126198,126360,2025-07-21T13:35,2025-07-24T09:05,1,7862.930000000168
126504,126562,2025-07-28T09:05,2025-07-28T13:55,-1,-1246.5700000001816
126576,126648,2025-07-29T09:05,2025-07-30T09:05,-1,-2238.4700000003213
126720,126781,2025-07-31T09:05,2025-07-31T14:10,-1,-1165.0699999999488
127152,127224,2025-08-08T09:05,2025-08-11T09:05,1,-1234.0699999999488
127658,127800,2025-08-19T09:15,2025-08-21T09:05,-1,-403.070000000298
128016,128330,2025-08-26T09:05,2025-09-01T11:15,1,17100.62999999954
128371,128386,2025-09-01T14:40,2025-09-02T09:55,1,3960.529999999795
128448,128526,2025-09-03T09:05,2025-09-04T09:35,1,5950.230000000214
128664,128797,2025-09-08T09:05,2025-09-09T14:10,1,13203.229999999981
129096,129117,2025-09-16T09:05,2025-09-16T10:50,1,1096.6299999998882
129165,129174,2025-09-16T14:50,2025-09-17T09:35,1,-4004.4700000000885
129450,129546,2025-09-22T14:35,2025-09-24T10:35,1,9287.629999999888
129582,129600,2025-09-24T13:35,2025-09-25T09:05,1,-988.9699999998556
129744,129745,2025-09-29T09:05,2025-09-29T09:10,1,-1224.4699999998556
129798,129887,2025-09-29T13:35,2025-09-30T15:00,1,10222.429999999935
129888,129889,2025-10-09T09:05,2025-10-09T09:10,1,26208.630000000005
129890,129898,2025-10-09T09:15,2025-10-09T09:55,1,4025.5300000002608
130032,130159,2025-10-13T09:05,2025-10-14T13:40,1,34429.4300000004
130177,130180,2025-10-15T09:10,2025-10-15T09:25,1,-3497.070000000065
130246,130302,2025-10-15T14:55,2025-10-16T13:35,1,7242.430000000168
130320,130321,2025-10-17T09:05,2025-10-17T09:10,1,21509.930000000168
130346,130374,2025-10-17T11:15,2025-10-17T13:35,1,-3895.570000000065
130376,130386,2025-10-17T13:45,2025-10-17T14:35,1,-3105.0699999998324
130464,130467,2025-10-21T09:05,2025-10-21T09:20,1,-4149.369999999879
130824,130896,2025-10-28T09:05,2025-10-29T09:05,-1,24596.830000000075
130981,131022,2025-10-30T10:10,2025-10-30T13:35,-1,-181.6699999999255
131532,131599,2025-11-10T14:05,2025-11-11T13:40,1,12855.430000000168
131688,131691,2025-11-13T09:05,2025-11-13T09:20,1,5881.930000000168
132552,132578,2025-12-01T09:05,2025-12-01T11:15,1,16315.529999999795
133202,133344,2025-12-12T09:15,2025-12-16T09:05,1,10160.03000000026
133632,133708,2025-12-22T09:05,2025-12-23T09:25,1,28412.430000000168
133715,133758,2025-12-23T10:00,2025-12-23T13:35,1,-3654.869999999879
133776,133789,2025-12-24T09:05,2025-12-24T10:10,1,-159.77000000001863
133921,133922,2025-12-26T09:10,2025-12-26T09:15,1,-4483.070000000298
134164,134197,2025-12-31T11:25,2025-12-31T14:10,-1,6053.930000000168
134568,134571,2026-01-12T09:05,2026-01-12T09:20,1,2200.029999999795
134694,134771,2026-01-13T13:35,2026-01-14T14:00,1,5247.630000000354
134928,134930,2026-01-19T09:05,2026-01-19T09:15,1,4737.530000000028
135054,135140,2026-01-20T13:35,2026-01-21T14:45,1,42457.630000000354
135216,135217,2026-01-23T09:05,2026-01-23T09:10,1,9939.929999999935
135226,135243,2026-01-23T09:55,2026-01-23T11:20,1,-5202.069999999367
135273,135278,2026-01-23T13:50,2026-01-23T14:15,1,-4328.469999999972
135288,135298,2026-01-26T09:05,2026-01-26T09:55,1,22370.929999999702
135356,135359,2026-01-26T14:45,2026-01-26T15:00,1,-694.4699999999721
135432,135434,2026-01-28T09:05,2026-01-28T09:15,1,14205.129999999888
135440,135487,2026-01-28T09:45,2026-01-28T13:40,1,19039.930000000168
135504,135505,2026-01-29T09:05,2026-01-29T09:10,1,40844.529999999795
135508,135513,2026-01-29T09:25,2026-01-29T09:50,1,3057.8300000003073
135561,135573,2026-01-29T13:50,2026-01-29T14:50,1,-152.96999999997206
135649,135651,2026-02-02T09:10,2026-02-02T09:20,-1,25328.53000000026
135705,135706,2026-02-02T13:50,2026-02-02T13:55,-1,2224.9300000001676
135712,135719,2026-02-02T14:25,2026-02-02T15:00,-1,-5040.369999999879
136368,136369,2026-02-24T09:05,2026-02-24T09:10,1,12674.929999999935
136656,136661,2026-03-02T09:05,2026-03-02T09:30,1,16084.830000000075
136676,136736,2026-03-02T10:45,2026-03-03T09:45,1,8571.929999999935
137376,137379,2026-03-16T09:05,2026-03-16T09:20,-1,4409.8300000000745
137543,137587,2026-03-18T11:00,2026-03-18T14:40,-1,-3961.070000000298
137592,137599,2026-03-19T09:05,2026-03-19T09:40,-1,25815.029999999795
137649,137663,2026-03-19T13:50,2026-03-19T15:00,-1,15539.229999999981
137664,137665,2026-03-20T09:05,2026-03-20T09:10,-1,20467.430000000168
137736,137737,2026-03-23T09:05,2026-03-23T09:10,-1,61659.93000000017
137790,137795,2026-03-23T13:35,2026-03-23T14:00,-1,3742.630000000121
137796,137798,2026-03-23T14:05,2026-03-23T14:15,-1,1879.8300000000745
137800,137804,2026-03-23T14:25,2026-03-23T14:45,-1,8103.8300000000745
137805,137806,2026-03-23T14:50,2026-03-23T14:55,-1,-67.36999999987893
138528,138529,2026-04-08T09:05,2026-04-08T09:10,1,-584.4699999997392
